MEMBER,,TYPE,TEXT,規格書
ARA000D,已下載,DSPF,銷退折讓子目錄　                          A1087,
ARA001D,已下載,DSPF,發票編號資料設定,
ARA002D,已下載,DSPF,銀行帳號資料設定,
ARA003D,已下載,DSPF,稅率資料維護,
ARA004D,已下載,DSPF,發票作廢重開－作廢,
ARA0041D,已下載,DSPF,發票作廢重開－重開,
ARA0042D,已下載,DSPF,發票明細查詢,
ARA005D,已下載,DSPF,收款沖帳處理,
ARA0051D,已下載,DSPF,收款沖帳處理－沖帳挑選,
ARA0052D,已下載,DSPF,收款沖帳處理－沖帳修改,
ARA0053D,已下載,DSPF,收款沖帳處理－收款查詢,
ARA006D,已下載,DSPF,票據兌現處理,
ARA0061D,已下載,DSPF,票據兌現處理－兌現挑選,
ARA0062D,已下載,DSPF,票據兌現處理－兌現取消,
ARA007D,已下載,DSPF,價差折讓處理,
ARA008D,已下載,DSPF,銷退折讓處理,
ARA0081D,已下載,DSPF,銷退折讓處理－發票分配,
ARA0082D,已下載,DSPF,折讓狀況查詢  RSTDSP(*YES) ASSUME <new>,
ARA0083D,已下載,DSPF,銷退折讓處理－發票分配查詢,
ARA009D,已下載,DSPF,轉帳資料批次作業,
ARA009P,已下載,PRTF,轉帳資料批次處理報表列印,
ARA010AP,已下載,PRTF,統一發票申報表－記錄報表列印,
ARA010BP,已下載,PRTF,統一發票申報表,
ARA010D,已下載,DSPF,統一發票申報表,
ARA010P,已下載,PRTF,統一發票未確認表,
ARA012D,已下載,DSPF,專櫃轉帳資料批次作業,
ARA012P,已下載,PRTF,專櫃轉帳資料批次處理報表列印,
ARA013D,已下載,DSPF,應收帳款批次處理,
ARA013XD,已下載,DSPF,反收款沖帳批次月結處理,
ARA014D,已下載,DSPF,沖帳批次處理,
ARA014P,已下載,PRTF,沖帳批次處理,
ARA015AP,已下載,PRTF,銷退折讓批次處理未分配完報表,
ARA015D,已下載,DSPF,銷退折讓批次處理,
ARA015P,已下載,PRTF,銷退折讓批次處理報表,
ARA016D,已下載,DSPF,人工發票控制維護,
ARA0161D,已下載,DSPF,人工發票控制維護,
ARA017D,已下載,DSPF,電子發票轉檔與傳送 - 有效,
ARA018D,已下載,DSPF,電子發票轉檔與傳送 - 作廢,
ARB001P,已下載,PRTF,檢核銷退及價差,
ARI021D,已下載,DSPF,發票資料查詢－依客戶,
ARI022D,已下載,DSPF,發票資料查詢－依產品客戶     920719,
ARI023D,已下載,DSPF,應收帳款查詢－帳齡分析查詢,
ARI0231D,已下載,DSPF,應收帳款查詢－帳款明細查詢    920717,
ARI0232D,已下載,DSPF,應收帳款查詢－帳齡分析,
ARI024D,已下載,DSPF,折讓查詢－（依客戶）,
ARI0241D,已下載,DSPF,折讓查詢－對應發票查詢,
ARI025D,已下載,DSPF,銷貨折讓查詢（依產品）,
ARI026D,已下載,DSPF,收款沖帳查詢,
ARI0261D,已下載,DSPF,收款沖帳查詢－沖帳明細,
