MEMBER,,TYPE,TEXT,規格書
A,已下載,RPG,Area Attribute Maintain,
ARA000,已下載,RPG,銷退折讓子目錄,
ARA001,已下載,RPG,發票編號資料設定    v                       A1139,
ARA002,已下載,RPG,銀行帳號資料設定                            A1139,
ARA003,已下載,RPG,稅率資料維護                                A1005,
ARA004,已下載,RPG,發票作廢重開維護－作廢    920805            A1118,
ARA005,已下載,RPG,收款沖帳處理    920723                      A1087,
ARA0051,已下載,RPG,收款沖帳處理－沖帳挑選  920814              A1087,
ARA0052,已下載,RPG,收款沖帳處理－沖帳修改  920810              A1087,
ARA0053,已下載,RPG,發票沖帳處理－收款查詢,
ARA006,已下載,RPG,票據兌現處理                                A1118,
ARA0061,已下載,RPG,票據兌現處理－兌現挑選                      A1118,
ARA0062,已下載,RPG,票據兌現處理－兌現取消                      A1118,
ARA007,已下載,RPG,價差折讓處理     920810                     A1139,
ARA008,已下載,RPG,銷退折讓處理    imia                        A1092,
ARA0081,已下載,RPG,銷退折讓處理－發票分配   imia               A1087,
ARA0082,已下載,RPG,銷退折讓資料查詢  (WINDOW)                  A1034,
ARA0083,已下載,RPG,銷退折讓處理－發票分配查詢,
ARA0084,已下載,RPG,專櫃退貨確認 (SUB PGM) 扣康齡庫存,
ARA0085,已下載,RPG,專櫃退貨,
ARA009,已下載,RPG,轉帳資料批次作業 (SCREEN CHECK)             A1087,
ARA0091,已下載,RPG,轉帳資料批次作業 (BATCH) upd by stephanie / A1087,
ARA010,已下載,RPG,統一發票申報作業 (SCREEN CHECK),
ARA0101,已下載,RPG,統一發票申報作業 (WRITE DATAFILE),
ARA01011,已下載,RPG,統一發票申報作業 -CHECK,
ARA0102,已下載,RPG,統一發票申報作業 (PRINT REPORTS),
ARA012,已下載,RPG,專櫃轉帳資料批次作業 (SCREEN CHECK),
ARA0121,已下載,RPG,專櫃轉帳資料批次作業 (BATCH)    /,
ARA013,已下載,RPG,應收帳款月檔批次處理 (SCREEN CHECK),
ARA013X,已下載,RPG,反收款月檔批次處理 (BATCH),
ARA0131,已下載,RPG,應收帳款月檔批次處理 (BATCH),
ARA014,已下載,RPG,沖帳批次作業 (SCREEN CHECK),
ARA0141,已下載,RPG,沖帳批次作業 (BATCH),
ARA015,已下載,RPG,銷退折讓批次處理 (SCREEN CHECK),
ARA0151,已下載,RPG,銷退折讓批次處理 (BATCH),
ARA0152,已下載,RPG,銷退折讓批次處理,
ARA016,已下載,RPG,人工發票控制維護,
ARA0161,已下載,RPG,人工發票控制維護－新增,
ARA017,已下載,RPG,電子發票轉檔與傳送 - 有效,
ARA0171,已下載,RPG,電子發票取得日期區間 - 有效 B2B (A0401),
ARA0172,已下載,RPG,電子發票寫入發票主控檔 - 有效 B2B (A0401),
ARA0173,已下載,RPG,電子發票資料寫入 - 有效 B2B (A0401),
ARA0174,已下載,RPG,電子發票 FTP 指令產生 - 有效 B2B (A0401),
ARA0175,已下載,RPG,電子發票取得日期區間 - 有效 B2C (C0401),
ARA0176,已下載,RPG,電子發票寫入發票主控檔 - 有效 B2C (C0401),
ARA0177,已下載,RPG,電子發票資料寫入 - 有效 B2C (C0401),
ARA0178,已下載,RPG,電子發票 FTP 指令產生 - 有效 B2C (C0401),
ARA018,已下載,RPG,電子發票轉檔與傳送 - 作廢,
ARA0181,已下載,RPG,電子發票取得日期區間 - 作廢 B2B (A0501),
ARA0182,已下載,RPG,電子發票寫入發票主控檔 - 作廢 B2B (A0501),
ARA0183,已下載,RPG,電子發票資料寫入 - 作廢 B2B (A0501),
ARA0184,已下載,RPG,電子發票 FTP 指令產生 - 作廢 B2B (A0501),
ARA0185,已下載,RPG,電子發票寫入發票主控檔 - 作廢 B2C (C0501),
ARA0186,已下載,RPG,電子發票 FTP 指令產生 - 作廢 B2C (C0501),
ARB001,已下載,RPG,檢核銷退及價差,
ARI021,已下載,RPG,發票資料查詢－依客戶   920825               A1139,
ARI022,已下載,RPG,發票資料查詢－依產品客戶     920719         A1139,
ARI023,已下載,RPG,應收帳款查詢－帳齡分析查詢    920820        A1139,
ARI0231,已下載,RPG,應收帳款查詢－帳款明細查詢    920805        A1087,
ARI0232,已下載,RPG,應收帳款查詢－帳齡分析查詢    920820        A1139,
ARI024,已下載,RPG,銷售折讓查詢（依客戶）                      A1139,
ARI0241,已下載,RPG,銷貨折讓查詢－對應發票查詢                  A1139,
ARI025,已下載,RPG,銷貨折讓查詢（依產品）                      A1087,
ARI026,已下載,RPG,收款沖帳查詢                                A1084,
ARI0261,已下載,RPG,收款沖帳查詢－沖帳明細                      A1084,
ARI027,已下載,RPG,發票未作廢重開查詢,
ARI0271,已下載,RPG,發票未作廢重開查詢,
ARI028,已下載,RPG,票據未兌現查詢,
ARI029,已下載,RPG,統一發票號碼查詢,
ARR041,已下載,RPG,客戶對帳單 (SCREEN CHECK) 920717            A1139,
ARR0411,已下載,RPG,客戶對帳單 (PRINT REPORTS)  920717,
ARR042,已下載,RPG,帳齡分析表 (SCREEN CHECK)                   A1139,
ARR042A,已下載,RPG,帳齡分析表 (SCREEN CHECK) for addjobscde,
ARR0421,已下載,RPG,帳齡分析表－依公司 (PRINT REPORTS),
ARR0422,已下載,RPG,帳齡分析表－依業務員 (WRITE WORK FILE),
ARR0423,已下載,RPG,帳齡分析表－依業務員 (PRINT REPORTS),
ARR043,已下載,RPG,現金收入明細表 (SCREEN CHECK)               A1139,
ARR0431,已下載,RPG,現金收入明細表 (PRINT REPORTS)              A1139,
ARR044,已下載,RPG,票據收入明細表 (SCREEN CHECK)               A1139,
ARR0441,已下載,RPG,票據收入明細表 (PRINT REPORTS)              A1139,
ARR045,已下載,RPG,銷貨收入明細表 (SCREEN CHECK)               A1118,
ARR0451,已下載,RPG,銷貨收入明細表 (PRINT REPORTS)              A1118,
ARR0452,已下載,RPG,銷貨收入明細表 (PRINT REPORTS)              A1118,
ARR0453,已下載,RPG,銷貨收入明細表 (PRINT REPORTS)              A1118,
ARR046,已下載,RPG,銷貨成本明細表 (SCREEN CHECK)               A1118,
ARR0461,已下載,RPG,銷貨成本明細表 (WRITE WORKFILE)             A1118,
ARR0462,已下載,RPG,銷貨成本明細表 (PRINT REPORTS)              A1118,
ARR047,已下載,RPG,折讓明細表 (SCREEN CHECK)                   A1087,
ARR0471,已下載,RPG,銷退折讓明細表                              A1087,
ARR0472,已下載,RPG,價差折讓明細表                              A1087,
ARR048,已下載,RPG,應收帳款明細表 (SCREEN CHECK),
ARR0481,已下載,RPG,應收帳款明細表 (WRITE WORKFILE),
ARR0482,已下載,RPG,應收帳款明細表 (PRINT REPORTS),
